model,accuracy_mean,accuracy_std,directional_accuracy_mean,pooled_accuracy
persistence,0.5594331758821895,0.32063748577031087,0.1460478090337957,0.5594331758821895
linear,0.7804667963323144,0.03486792529654089,0.10443575440702146,0.7804667963323145
xgboost,0.7896915809947208,0.029169757188543876,0.23851985041203522,0.7896915809947208
