model,accuracy_mean,accuracy_std,directional_accuracy_mean,pooled_accuracy
persistence,0.32004454342984406,0.04492597425744201,0.24714274899591424,0.3200445434298441
linear,0.5280623608017818,0.057356092407509794,0.46768769742450045,0.5280623608017817
xgboost,0.5253897550111358,0.04786490406668729,0.46308895992483967,0.5253897550111358
