fold_id,train_size,test_size,accuracy,directional_accuracy
0,49813,9962,0.1445492872917085,0.6666666666666666
1,59775,9962,0.7788596667335876,0.0
2,69737,9962,0.08050592250552098,0.36454545454545456
3,79699,9962,0.7971290905440674,0.0
