model,accuracy_mean,accuracy_std,directional_accuracy_mean,pooled_accuracy
persistence,0.45026099176872114,0.3909275400193594,0.2578030303030303,0.45026099176872114
linear,0.784581409355551,0.008580118709639883,0.0004746750033736674,0.7845814093555511
xgboost,0.7694238104798233,0.021033047863137554,0.18124680454749653,0.7694238104798233
